mutant_id,country_of_origin,unique_mutant_ability,mutant_ability_description,age_group,sex,gender_identity,spoken_languages,previous_occupation
1414,Zambia,Plasma Manipulation,Controlling and creating plasma.,18-34,Male,Female,English,Physical Therapist
1415,France,Summoning,Calling forth beings or objects.,18-34,Male,Female,English,Pharmacist
1416,Portugal,Magnetism,Controlling magnetic fields.,65+,Female,Male,English; Portuguese,Doctor
1417,Indonesia,Plasma Manipulation,Controlling and creating plasma.,50-64,Male,Male,Indonesian; English,Social Worker
1418,Italy,Sonic Scream,Emitting powerful sonic waves.,35-49,Male,Female,Italian,Physical Therapist
1419,Indonesia,Elasticity,Stretching and reshaping the body.,18-34,Female,Non-binary,Indonesian; English,Cashier
1420,India,Photokinesis,Controlling and creating light.,35-49,Male,Female,English; Telugu,Salesperson
1421,Poland,Sonic Scream,Emitting powerful sonic waves.,18-34,Male,Female,Polish,Truck Driver
1422,China,Poison Resistance,Immunity to toxins and poisons.,0-17,Male,Female,English; Cantonese,N/A
1423,Egypt,Hydrokinesis,Controlling and creating water.,0-17,Female,Male,English,N/A
1424,Hungary,Pressure Manipulation,Controlling pressure in the environment.,65+,Female,Male,Hungarian,Engineer
1425,UK,Magic,Using magical spells and abilities.,0-17,Male,Male,English,N/A
1426,Russia,Healing,Rapid recovery from injuries.,18-34,Male,Male,English,Mechanic
1427,Angola,Super Strength,Enhanced physical strength.,18-34,Male,Male,English,Engineer
1428,Nigeria,Memory Manipulation,Altering and erasing memories.,35-49,Female,Male,Igbo,Laborer
1429,Pakistan,Molecular Manipulation,Changing the molecular structure of objects.,35-49,Female,Male,Urdu; English,Administrative Assistant
1430,USA,Dream Manipulation,Controlling and entering dreams.,35-49,Male,Female,Spanish,Administrative Assistant
1431,India,Cryokinesis,Controlling and creating ice.,18-34,Male,Female,Urdu; Marathi,Factory Worker
1432,China,Healing,Rapid recovery from injuries.,18-34,Female,Male,English,Food Service Worker
1433,Brazil,Bone Manipulation,Controlling and using bones.,50-64,Male,Female,Portuguese,Psychologist
1434,India,Fire Resistance,Immunity to fire.,35-49,Female,Female,Tamil,Manager
1435,Kazakhstan,Invisibility,Becoming unseen.,18-34,Male,Female,Kazakh,Factory Worker
1436,Brazil,Energy Manipulation,"Creating, absorbing, and controlling energy.",35-49,Male,Male,Portuguese,Police Officer
1437,Philippines,Teleportation,Instantaneous travel from one place to another.,0-17,Female,Male,English,N/A
1438,Egypt,Invulnerability,Complete resistance to physical harm.,18-34,Male,Male,English; Arabic,Art Therapist
1439,India,Force Fields,Creating protective barriers.,18-34,Male,Transgender Male,Hindi,Cashier
1440,Pakistan,Memory Manipulation,Altering and erasing memories.,35-49,Female,Male,Punjabi,Carpenter
1441,China,Dimensional Travel,Moving between dimensions.,35-49,Female,Male,Mandarin; Cantonese,Office Clerk
1442,Indonesia,Sound Manipulation,Controlling and creating sound.,35-49,Female,Male,Indonesian,Architect
1443,Kenya,Gravity Control,Manipulating gravitational forces.,0-17,Female,Female,English,N/A
1444,India,Alchemy,Transmuting matter.,35-49,Female,Male,Tamil; Telugu; Urdu,Nurse
1445,Nigeria,Energy Projection,Emitting energy blasts.,35-49,Female,Female,English,Veterinarian
1446,Pakistan,Gravity Control,Manipulating gravitational forces.,18-34,Male,Male,Punjabi; English,Teacher
1447,Pakistan,Substance Mimicry,Turning into any material.,0-17,Male,Male,English; Punjabi,N/A
1448,Indonesia,Ecokinesis,Controlling the ecosystem.,35-49,Male,Female,English; Indonesian,Firefighter
1449,China,Gravity Control,Manipulating gravitational forces.,0-17,Male,Female,Cantonese,N/A
1450,USA,Plant Manipulation,Controlling plant life.,35-49,Female,Female,English,Doctor
1451,Philippines,Density Control,Altering one's density.,0-17,Male,Male,Filipino,N/A
1452,Syria,Light Manipulation,Controlling and creating light.,65+,Female,Non-binary,Kurdish,Anthropologist
1453,Myanmar,Poison Resistance,Immunity to toxins and poisons.,0-17,Female,Female,Burmese,N/A
1454,Poland,Super Speed,Enhanced speed and reflexes.,18-34,Male,Female,English,Truck Driver
1455,Indonesia,Healing,Rapid recovery from injuries.,0-17,Female,Female,English,N/A
1456,Spain,Super Strength,Enhanced physical strength.,35-49,Female,Male,Spanish,Hairdresser
1457,China,Poison Resistance,Immunity to toxins and poisons.,18-34,Female,Female,Mandarin; Cantonese,Software Developer
1458,China,Intangibility,"Becoming non-solid, ghost-like.",35-49,Male,Male,Mandarin,Janitor
1459,USA,Explosion Manipulation,Creating and controlling explosions.,18-34,Male,Female,Spanish,Administrative Assistant
1460,China,Chlorokinesis,Controlling plant life.,18-34,Female,Female,Cantonese,Engineer
1461,China,Hydrokinesis,Controlling and creating water.,0-17,Female,Female,Mandarin,N/A
1462,India,Enhanced Senses,Heightened sensory perception.,35-49,Male,Non-binary,English,Accountant
1463,China,Radiation Manipulation,Controlling and creating radiation.,18-34,Male,Female,Mandarin,Teacher
1464,Indonesia,Enhanced Durability,Increased physical resilience.,18-34,Male,Female,English; Indonesian,Statistician
1465,India,Hydrokinesis,Controlling and creating water.,18-34,Female,Female,Hindi; Telugu,Firefighter
1466,South Sudan,Biokinesis,Altering living organisms' biology.,35-49,Male,Female,English,Real Estate Agent
1467,Bangladesh,Hydrokinesis,Controlling and creating water.,18-34,Female,Male,English,Nurse
1468,India,Super Strength,Enhanced physical strength.,18-34,Male,Female,Bengali; Marathi,Salesperson
1469,Zimbabwe,Umbrakinesis,Controlling and creating shadows.,18-34,Female,Male,English,Office Clerk
1470,Zambia,Blood Manipulation,Controlling and using blood.,35-49,Male,Male,English,Teacher
1471,China,Flight,Ability to fly.,18-34,Male,Female,Mandarin,Social Worker
1472,Ghana,Intangibility,"Becoming non-solid, ghost-like.",18-34,Female,Male,English,Teacher
1473,Russia,Invisibility,Becoming unseen.,35-49,Female,Female,Russian; English,Truck Driver
1474,Bangladesh,Enhanced Senses,Heightened sensory perception.,65+,Female,Female,English,Retail Sales Associate
1475,Ukraine,Enhanced Senses,Heightened sensory perception.,18-34,Male,Female,Ukrainian,Art Therapist
1476,Bangladesh,Electric Resistance,Immunity to electricity.,18-34,Male,Male,Bengali,Optometrist
1477,Nepal,Atmospheric Manipulation,Controlling the atmosphere.,35-49,Female,Female,English,Janitor
1478,Algeria,Umbrakinesis,Controlling and creating shadows.,18-34,Male,Male,French,Electrician
1479,India,Ice Resistance,Immunity to cold and ice.,35-49,Female,Female,Hindi,Janitor
1480,India,Duplication,Creating copies of oneself.,18-34,Female,Female,Hindi,Administrative Assistant
1481,Switzerland,Invisibility,Becoming unseen.,18-34,Male,Female,German; French,Customer Service Representative
1482,Nigeria,Elemental Control,"Manipulating elements (fire, water, earth, air).",18-34,Female,Transgender Female,Igbo,Mechanic
1483,India,Chlorokinesis,Controlling plant life.,18-34,Female,Female,Bengali,Farmer
1484,Ghana,Plant Manipulation,Controlling plant life.,18-34,Male,Female,English,Salesperson
1485,China,Invulnerability,Complete resistance to physical harm.,0-17,Female,Female,English,N/A
1486,Canada,Cyberpathy,Controlling and communicating with computers.,0-17,Female,Female,French,N/A
1487,India,Explosion Manipulation,Creating and controlling explosions.,0-17,Female,Male,Marathi; Urdu,N/A
1488,Azerbaijan,Tactile Telekinesis,Moving objects through touch.,35-49,Male,Female,Azerbaijani,Accountant
1489,Malawi,Healing,Rapid recovery from injuries.,65+,Female,Male,English,Janitor
1490,Argentina,Super Speed,Enhanced speed and reflexes.,50-64,Female,Male,Spanish,Graphic Designer
1491,Philippines,Enhanced Senses,Heightened sensory perception.,35-49,Male,Male,English,Software Developer
1492,Philippines,Sonic Scream,Emitting powerful sonic waves.,35-49,Male,Non-binary,English; Filipino,Administrative Assistant
1493,Brazil,Electrokinesis,Controlling and creating electricity.,0-17,Female,Female,Portuguese,N/A
1494,Bangladesh,Enhanced Senses,Heightened sensory perception.,0-17,Male,Male,Bengali,N/A
1495,China,Darkness Manipulation,Controlling and creating darkness.,35-49,Female,Non-binary,English; Mandarin,Office Clerk
1496,China,Duplication,Creating copies of oneself.,50-64,Male,Female,English,Office Clerk
1497,China,Bulletproof,Impervious to bullets.,0-17,Female,Male,English,N/A
1498,Nigeria,Plant Manipulation,Controlling plant life.,18-34,Female,Male,English,Mechanic
1499,USA,Temperature Manipulation,Controlling and altering temperature.,18-34,Female,Male,English,Accountant
1500,India,Temperature Manipulation,Controlling and altering temperature.,18-34,Male,Male,Bengali,Geomicrobiologist
1501,China,Regeneration,Ability to regrow lost limbs or organs.,50-64,Male,Female,English,Physical Therapist
1502,China,Omnilingualism,Understanding all languages.,35-49,Female,Male,English,Financial Analyst
1503,China,Hydrokinesis,Controlling and creating water.,35-49,Female,Male,Mandarin; Cantonese,Plumber
1504,Ecuador,Toxikinesis,Creating and controlling toxins and poisons.,18-34,Male,Transgender Female,Spanish,Truck Driver
1505,USA,Illusions,Creating false perceptions.,18-34,Male,Male,English,Pharmacist
1506,Algeria,Ice Resistance,Immunity to cold and ice.,50-64,Male,Male,Arabic,Manager
1507,India,Blood Manipulation,Controlling and using blood.,35-49,Male,Female,Marathi; Urdu; Hindi,Oceanographer
1508,Thailand,Chlorokinesis,Controlling plant life.,18-34,Female,Female,Thai; English,Teacher
1509,India,Toxikinesis,Creating and controlling toxins and poisons.,0-17,Female,Male,English,N/A
1510,Brazil,Telekinesis,Moving objects with the mind.,35-49,Male,Male,Portuguese,Numismatist
1511,Vietnam,Density Control,Altering one's density.,35-49,Female,Female,Vietnamese,Speech Pathologist
1512,India,Retrocognition,Seeing past events.,18-34,Female,Male,Urdu,Firefighter
1513,China,Omnilingualism,Understanding all languages.,18-34,Female,Female,Cantonese,Construction Worker
1514,Togo,Photokinesis,Controlling and creating light.,18-34,Female,Female,English,Construction Worker
1515,Vietnam,Explosion Manipulation,Creating and controlling explosions.,35-49,Male,Female,English,Optometrist
1516,China,Biokinesis,Altering living organisms' biology.,18-34,Female,Male,English; Mandarin,Customer Service Representative
1517,India,Enhanced Durability,Increased physical resilience.,50-64,Female,Female,Hindi,Veterinarian
1518,Saudi Arabia,Healing,Rapid recovery from injuries.,18-34,Female,Male,English,Office Clerk
1519,China,Illusions,Creating false perceptions.,50-64,Male,Male,Cantonese,Cashier
1520,Papua New Guinea,Psionic Constructs,Creating physical objects with the mind.,18-34,Female,Male,English,Graphic Designer
1521,Malaysia,Vitakinesis,Healing and altering life force.,18-34,Female,Male,English,Construction Worker
1522,Madagascar,Tactile Telekinesis,Moving objects through touch.,0-17,Female,Female,English,N/A
1523,Pakistan,Seismic Manipulation,Creating and controlling earthquakes.,35-49,Female,Female,English,Carpenter
1524,Tajikistan,Adoptive Muscle Memory,Learning physical tasks instantly.,0-17,Male,Female,Russian,N/A
1525,South Sudan,Gravity Control,Manipulating gravitational forces.,35-49,Female,Male,English,Optometrist
1526,India,Enhanced Agility,Superhuman agility and reflexes.,50-64,Female,Male,Telugu; Tamil,Teacher
1527,Thailand,Vitakinesis,Healing and altering life force.,18-34,Female,Male,English; Thai,Chef
1528,India,Precognition,Seeing the future.,65+,Female,Female,Hindi,Real Estate Agent
1529,India,Bulletproof,Impervious to bullets.,18-34,Male,Male,Hindi,Lawyer
1530,USA,Toxikinesis,Creating and controlling toxins and poisons.,0-17,Male,Female,English,N/A
1531,India,Spatial Manipulation,Altering space and dimensions.,18-34,Male,Female,Bengali; Telugu,Retail Sales Associate
1532,India,Hydrokinesis,Controlling and creating water.,35-49,Female,Female,Bengali; Tamil,Chef
1533,India,Blood Manipulation,Controlling and using blood.,18-34,Male,Female,Hindi,Administrative Assistant
1534,Turkey,Vitakinesis,Healing and altering life force.,0-17,Female,Male,Turkish; English,N/A
1535,South Korea,Healing,Rapid recovery from injuries.,0-17,Female,Female,Korean; English,N/A
1536,Turkey,Ice Resistance,Immunity to cold and ice.,35-49,Male,Male,Turkish,Engineer
1537,China,Substance Mimicry,Turning into any material.,18-34,Female,Female,English,Nurse
1538,India,Bone Manipulation,Controlling and using bones.,18-34,Male,Female,English,Pharmacist
1539,China,Acid Generation,Creating and controlling acid.,18-34,Male,Male,English,Security Guard
1540,Mexico,Technopathy,Controlling and communicating with machines.,0-17,Female,Transgender Female,Spanish,N/A
1541,UK,Lunar Manipulation,Controlling and using lunar energy.,0-17,Male,Male,English,N/A
1542,Indonesia,Elasticity,Stretching and reshaping the body.,35-49,Male,Female,English,Waiter/Waitress
1543,India,Matter Ingestion,Consuming any form of matter.,35-49,Male,Male,Hindi,Biomedical Engineer
1544,Central African Republic,Poison Resistance,Immunity to toxins and poisons.,18-34,Male,Female,English,Police Officer
1545,India,Memory Manipulation,Altering and erasing memories.,35-49,Female,Female,Bengali,Customer Service Representative
1546,Papua New Guinea,Sound Manipulation,Controlling and creating sound.,35-49,Male,Female,English,Speech Pathologist
1547,Nepal,Animal Transformation,Changing into animals.,35-49,Male,Non-binary,Nepali,Plumber
1548,Haiti,Duplication,Creating copies of oneself.,18-34,Male,Female,English,Salesperson
1549,India,Frequency Manipulation,"Controlling frequencies of sound, light, etc.",35-49,Male,Male,Tamil,Manager
1550,Bangladesh,Telempathy,Sensing and manipulating emotions.,35-49,Male,Female,English; Bengali,Security Guard
1551,India,Super Strength,Enhanced physical strength.,35-49,Male,Female,English,Salesperson
1552,India,Enhanced Senses,Heightened sensory perception.,18-34,Male,Male,Hindi,Geologist
1553,Malaysia,Plasma Manipulation,Controlling and creating plasma.,50-64,Female,Female,English,Customer Service Representative
1554,China,Healing,Rapid recovery from injuries.,18-34,Female,Female,English,Food Service Worker
1555,Mongolia,Elasticity,Stretching and reshaping the body.,50-64,Male,Male,Russian,Accountant
1556,Vietnam,Energy Manipulation,"Creating, absorbing, and controlling energy.",0-17,Female,Female,Vietnamese,N/A
1557,South Africa,Super Speed,Enhanced speed and reflexes.,18-34,Female,Male,Xhosa,Nurse
1558,Mali,Temperature Manipulation,Controlling and altering temperature.,18-34,Female,Female,English,Laborer
1559,Bangladesh,Flight,Ability to fly.,18-34,Male,Male,Bengali,Veterinarian
1560,India,Invisibility,Becoming unseen.,18-34,Female,Male,Marathi,Police Officer
1561,Russia,Teleportation,Instantaneous travel from one place to another.,50-64,Female,Male,English,Nurse
1562,Iran,Gravity Control,Manipulating gravitational forces.,18-34,Female,Male,Persian,Laborer
1563,India,Hydrokinesis,Controlling and creating water.,65+,Female,Female,Bengali,Art Therapist
1564,Indonesia,Radiation Manipulation,Controlling and creating radiation.,18-34,Male,Female,English,Social Worker
1565,Russia,Dimensional Travel,Moving between dimensions.,0-17,Female,Female,English,N/A
1566,Venezuela,Fire Resistance,Immunity to fire.,18-34,Female,Transgender Male,Spanish,Office Clerk
1567,USA,Enhanced Senses,Heightened sensory perception.,50-64,Female,Female,English; Spanish,Teacher
1568,Iraq,Acid Generation,Creating and controlling acid.,35-49,Male,Male,Arabic; Kurdish,Epidemiologist
1569,Philippines,Plant Manipulation,Controlling plant life.,50-64,Female,Male,Filipino,Customer Service Representative
1570,Thailand,Solar Manipulation,Controlling and using solar energy.,65+,Male,Female,Thai,Anthropologist
1571,China,Chlorokinesis,Controlling plant life.,35-49,Male,Male,English,Veterinarian
1572,China,Photokinesis,Controlling and creating light.,18-34,Male,Non-binary,Cantonese,Plumber
1573,Nepal,Temperature Manipulation,Controlling and altering temperature.,18-34,Male,Non-binary,Nepali,Astronomer
1574,Brazil,Gravity Control,Manipulating gravitational forces.,18-34,Female,Transgender Female,Portuguese,Plumber
1575,China,Photokinesis,Controlling and creating light.,18-34,Male,Female,Cantonese,Construction Worker
1576,China,Vibration Manipulation,Controlling vibrations.,0-17,Male,Female,Mandarin; Cantonese,N/A
1577,China,Matter Ingestion,Consuming any form of matter.,50-64,Female,Male,Mandarin; English,Volcanologist
1578,Spain,Flight,Ability to fly.,35-49,Female,Male,Catalan; Spanish,Factory Worker
1579,Nigeria,Enhanced Durability,Increased physical resilience.,18-34,Male,Female,Igbo,Teacher
1580,Japan,Super Speed,Enhanced speed and reflexes.,18-34,Male,Male,Japanese,Retail Sales Associate
1581,Mexico,Atmospheric Manipulation,Controlling the atmosphere.,0-17,Female,Male,Spanish,N/A
1582,Panama,Plasma Manipulation,Controlling and creating plasma.,35-49,Male,Male,Spanish,Truck Driver
1583,China,Emotion Control,Influencing and controlling emotions.,0-17,Female,Male,English,N/A
1584,Nigeria,Electric Resistance,Immunity to electricity.,50-64,Male,Male,Hausa,Truck Driver
1585,Morocco,Geokinesis,Controlling and manipulating earth/rock.,50-64,Female,Male,Arabic,Mechanic
1586,India,Telepathy,"Reading minds, mental communication.",18-34,Female,Female,English,Administrative Assistant
1587,India,Aerokinesis,Controlling and creating air/wind.,0-17,Male,Female,English,N/A
1588,China,Flight,Ability to fly.,50-64,Male,Male,English,Hydrologist
1589,Honduras,Psionic Energy,Using psionic energy for various effects.,35-49,Female,Non-binary,Spanish,Farmer
1590,India,Illusions,Creating false perceptions.,0-17,Male,Female,Tamil,N/A
1591,Colombia,Elasticity,Stretching and reshaping the body.,50-64,Female,Male,Spanish,Volcanologist
1592,France,Telempathy,Sensing and manipulating emotions.,35-49,Female,Male,French,Firefighter
1593,China,Super Strength,Enhanced physical strength.,35-49,Male,Female,Cantonese,Retail Sales Associate
1594,China,Geokinesis,Controlling and manipulating earth/rock.,18-34,Female,Male,English,Security Guard
1595,Germany,Geokinesis,Controlling and manipulating earth/rock.,35-49,Male,Female,German,Manager
1596,Japan,Frequency Manipulation,"Controlling frequencies of sound, light, etc.",35-49,Male,Male,English,Archaeologist
1597,China,Magnetism,Controlling magnetic fields.,65+,Female,Female,English,Customer Service Representative
1598,China,Ice Resistance,Immunity to cold and ice.,65+,Female,Male,Mandarin,Customer Service Representative
1599,China,Frequency Manipulation,"Controlling frequencies of sound, light, etc.",35-49,Female,Male,Cantonese; Mandarin,Lawyer
1600,China,Animal Transformation,Changing into animals.,35-49,Female,Male,Mandarin,Manager
1601,Saudi Arabia,Teleportation,Instantaneous travel from one place to another.,35-49,Male,Male,English,Engineer
1602,China,Healing,Rapid recovery from injuries.,18-34,Female,Male,Mandarin,Psychologist
1603,India,Telempathy,Sensing and manipulating emotions.,50-64,Female,Female,Hindi,Nurse
1604,South Korea,Spatial Manipulation,Altering space and dimensions.,50-64,Female,Male,English,Teacher
1605,Morocco,Toxikinesis,Creating and controlling toxins and poisons.,18-34,Female,Male,Arabic,Software Developer
1606,Italy,Animal Transformation,Changing into animals.,18-34,Female,Female,Italian; English,Laborer
1607,Senegal,Enhanced Durability,Increased physical resilience.,35-49,Male,Male,English,Optometrist
1608,Sierra Leone,Telekinesis,Moving objects with the mind.,18-34,Male,Male,English,Accountant
1609,Kazakhstan,Umbrakinesis,Controlling and creating shadows.,35-49,Male,Transgender Male,Russian; Kazakh,Farmer
1610,India,Power Absorption,Absorbing and using others' powers.,18-34,Male,Male,Hindi,Electrician
1611,Burundi,Plasma Manipulation,Controlling and creating plasma.,18-34,Female,Female,English,Carpenter
1612,Kenya,Seismic Manipulation,Creating and controlling earthquakes.,50-64,Male,Male,English,Janitor
1613,India,Blood Manipulation,Controlling and using blood.,50-64,Female,Female,Bengali; English,Laborer
1614,China,Density Control,Altering one's density.,18-34,Male,Female,Mandarin,Administrative Assistant
1615,Niger,Cryokinesis,Controlling and creating ice.,18-34,Male,Male,English,Salesperson
1616,India,Super Strength,Enhanced physical strength.,18-34,Female,Transgender Female,Marathi,Hairdresser
1617,USA,Adoptive Muscle Memory,Learning physical tasks instantly.,35-49,Female,Male,Spanish; English,Cashier
1618,Argentina,Healing,Rapid recovery from injuries.,18-34,Female,Male,Spanish,Manager
1619,USA,Weather Control,Manipulating weather patterns.,50-64,Male,Female,Spanish; English,Engineer
1620,Russia,Invulnerability,Complete resistance to physical harm.,35-49,Male,Female,Russian,Customer Service Representative
1621,Sweden,Enhanced Senses,Heightened sensory perception.,0-17,Female,Female,Swedish; English,N/A
1622,Italy,Super Strength,Enhanced physical strength.,18-34,Female,Male,English,Factory Worker
1623,USA,Solar Manipulation,Controlling and using solar energy.,18-34,Male,Male,Spanish,Graphic Designer
1624,Syria,Energy Manipulation,"Creating, absorbing, and controlling energy.",35-49,Male,Female,Kurdish; Arabic,Food Service Worker
1625,India,Enhanced Intellect,Superhuman intelligence.,35-49,Male,Male,Marathi,Teacher
1626,India,Aerokinesis,Controlling and creating air/wind.,18-34,Male,Female,Bengali,Administrative Assistant
1627,Malaysia,Electric Resistance,Immunity to electricity.,18-34,Female,Male,English,Salesperson
1628,Iraq,Darkness Manipulation,Controlling and creating darkness.,0-17,Male,Male,Kurdish,N/A
1629,Tunisia,Magnetism,Controlling magnetic fields.,50-64,Female,Male,French; Arabic,Retail Sales Associate
1630,Pakistan,Technopathy,Controlling and communicating with machines.,50-64,Male,Female,English,Salesperson
1631,India,Photokinesis,Controlling and creating light.,18-34,Male,Male,Tamil; Urdu,Chiropractor
1632,Uganda,Duplication,Creating copies of oneself.,18-34,Male,Male,English,Hairdresser
1633,India,Toxikinesis,Creating and controlling toxins and poisons.,18-34,Female,Male,English,Farmer
1634,Ukraine,Technopathy,Controlling and communicating with machines.,35-49,Female,Non-binary,Ukrainian,Hairdresser
1635,China,Vitakinesis,Healing and altering life force.,18-34,Male,Male,Mandarin,Teacher
1636,Senegal,Pressure Manipulation,Controlling pressure in the environment.,50-64,Female,Male,English,Mechanic
1637,India,Tactile Telekinesis,Moving objects through touch.,0-17,Male,Female,Urdu; English,N/A
1638,Slovakia,Force Fields,Creating protective barriers.,35-49,Male,Male,English,Retail Sales Associate
1639,Tunisia,Invisibility,Becoming unseen.,18-34,Female,Male,French; Arabic,Office Clerk
1640,Egypt,Energy Manipulation,"Creating, absorbing, and controlling energy.",18-34,Female,Female,Arabic,Truck Driver
1641,Indonesia,Animal Communication,Talking to and controlling animals.,18-34,Male,Male,Indonesian; English,Accountant
1642,India,Elemental Control,"Manipulating elements (fire, water, earth, air).",65+,Male,Male,Bengali,Waiter/Waitress
1643,India,Biokinesis,Altering living organisms' biology.,18-34,Male,Transgender Female,Hindi,Anthropologist
1644,Turkey,Vibration Manipulation,Controlling vibrations.,18-34,Female,Female,English,Food Service Worker
1645,Thailand,Acid Generation,Creating and controlling acid.,35-49,Female,Female,Thai,Food Service Worker
1646,India,Acid Generation,Creating and controlling acid.,0-17,Female,Female,Marathi; Bengali,N/A
1647,Gabon,Psionic Constructs,Creating physical objects with the mind.,18-34,Male,Male,English,Hairdresser
1648,China,Regeneration,Ability to regrow lost limbs or organs.,35-49,Female,Female,English,Manager
1649,China,Poison Resistance,Immunity to toxins and poisons.,18-34,Female,Female,Cantonese,Cashier
1650,China,Enhanced Agility,Superhuman agility and reflexes.,18-34,Female,Female,Cantonese,Accountant
1651,Iceland,Invulnerability,Complete resistance to physical harm.,18-34,Male,Male,English,Manager
1652,Nigeria,Seismic Manipulation,Creating and controlling earthquakes.,18-34,Male,Female,Igbo; Yoruba; English,Graphic Designer
1653,Niger,Seismic Manipulation,Creating and controlling earthquakes.,18-34,Female,Female,English,Graphic Designer
1654,China,Emotion Control,Influencing and controlling emotions.,0-17,Male,Male,English,N/A
1655,China,Spatial Manipulation,Altering space and dimensions.,35-49,Female,Male,Cantonese,Food Service Worker
1656,Pakistan,Psionic Constructs,Creating physical objects with the mind.,50-64,Male,Male,Punjabi,Physical Therapist
1657,Tanzania,Chlorokinesis,Controlling plant life.,18-34,Male,Male,English,Waiter/Waitress
1658,Vietnam,Biokinesis,Altering living organisms' biology.,18-34,Female,Female,Vietnamese,Glassblower
1659,Russia,Psionic Energy,Using psionic energy for various effects.,18-34,Male,Female,English; Russian,Salesperson
1660,Chad,Lunar Manipulation,Controlling and using lunar energy.,0-17,Male,Female,English,N/A
1661,Nigeria,Invisibility,Becoming unseen.,35-49,Female,Female,Hausa,Hairdresser
1662,Brazil,Blood Manipulation,Controlling and using blood.,0-17,Female,Male,Portuguese,N/A
1663,Colombia,Animal Communication,Talking to and controlling animals.,18-34,Female,Female,Spanish,Factory Worker
1664,Tanzania,Animal Communication,Talking to and controlling animals.,50-64,Male,Male,English,Salesperson
1665,Uganda,Plasma Manipulation,Controlling and creating plasma.,18-34,Female,Male,English,Graphic Designer
1666,Mexico,Blood Manipulation,Controlling and using blood.,0-17,Male,Female,Spanish,N/A
1667,India,Bulletproof,Impervious to bullets.,18-34,Female,Female,Tamil,Accountant
1668,India,Umbrakinesis,Controlling and creating shadows.,35-49,Female,Male,Telugu,Janitor
1669,China,Hydrokinesis,Controlling and creating water.,35-49,Female,Female,English; Mandarin,Retail Sales Associate
1670,India,Animal Communication,Talking to and controlling animals.,35-49,Male,Male,Urdu,Lawyer
1671,Uganda,Solar Manipulation,Controlling and using solar energy.,18-34,Female,Female,English,Police Officer
1672,Bangladesh,Temperature Manipulation,Controlling and altering temperature.,18-34,Male,Male,English,Lawyer
1673,China,Vitakinesis,Healing and altering life force.,35-49,Male,Female,Mandarin; Cantonese,Customer Service Representative
1674,Kenya,Energy Projection,Emitting energy blasts.,18-34,Male,Male,English,Firefighter
1675,India,Elemental Control,"Manipulating elements (fire, water, earth, air).",50-64,Male,Female,Telugu,Administrative Assistant
1676,China,Healing,Rapid recovery from injuries.,65+,Male,Male,English,Security Guard
1677,Mexico,Photokinesis,Controlling and creating light.,18-34,Male,Male,Spanish,Electrician
1678,India,Tactile Telekinesis,Moving objects through touch.,18-34,Male,Female,Bengali; Urdu,Waiter/Waitress
1679,India,Atmospheric Manipulation,Controlling the atmosphere.,18-34,Male,Non-binary,Telugu; Marathi; Tamil,Space Archaeologist
1680,Italy,Magnetism,Controlling magnetic fields.,18-34,Male,Male,Italian,Engineer
1681,India,Elemental Control,"Manipulating elements (fire, water, earth, air).",18-34,Male,Female,Marathi,Salesperson
1682,Myanmar,Seismic Manipulation,Creating and controlling earthquakes.,18-34,Female,Transgender Male,Burmese,Carpenter
1683,Sudan,Enhanced Intellect,Superhuman intelligence.,18-34,Male,Female,Arabic; English,Customer Service Representative
1684,Tanzania,Healing,Rapid recovery from injuries.,50-64,Female,Male,English,Office Clerk
1685,Saudi Arabia,Omnilingualism,Understanding all languages.,0-17,Male,Female,Arabic,N/A
1686,China,Temperature Manipulation,Controlling and altering temperature.,35-49,Female,Male,Mandarin; Cantonese,Plumber
1687,India,Regeneration,Ability to regrow lost limbs or organs.,18-34,Female,Male,Urdu,Waiter/Waitress
1688,USA,Light Manipulation,Controlling and creating light.,18-34,Female,Non-binary,English,Chef
1689,Bangladesh,Lunar Manipulation,Controlling and using lunar energy.,0-17,Female,Female,Bengali,N/A
1690,Egypt,Electric Resistance,Immunity to electricity.,18-34,Female,Female,English; Arabic,Police Officer
1691,USA,Emotion Control,Influencing and controlling emotions.,35-49,Male,Female,Spanish,Security Guard
1692,Madagascar,Energy Projection,Emitting energy blasts.,50-64,Female,Female,English,Pyrotechnician
1693,Nigeria,Summoning,Calling forth beings or objects.,18-34,Female,Male,English,Psychologist
1694,India,Omnipotence,Unlimited power.,50-64,Male,Female,Urdu,Doctor
1695,India,Poison Resistance,Immunity to toxins and poisons.,35-49,Male,Male,Urdu,Geneticist
1696,China,Enhanced Senses,Heightened sensory perception.,18-34,Male,Female,Mandarin,Hairdresser
1697,China,Light Manipulation,Controlling and creating light.,0-17,Male,Male,English,N/A
1698,Nigeria,Solar Manipulation,Controlling and using solar energy.,18-34,Male,Female,English,Food Service Worker
1699,Mozambique,Elasticity,Stretching and reshaping the body.,18-34,Female,Non-binary,English,Robotics Engineer
1700,Iraq,Dream Manipulation,Controlling and entering dreams.,65+,Male,Male,Arabic,Office Clerk
1701,USA,Substance Mimicry,Turning into any material.,18-34,Female,Male,English; Spanish,Office Clerk
1702,China,Technopathy,Controlling and communicating with machines.,65+,Male,Female,Mandarin,Plumber
1703,Kenya,Healing,Rapid recovery from injuries.,50-64,Female,Female,English,Office Clerk
